global_max|Aahron Galvan|99993.96
global_min|Aakash Brino|1.96global_avg|49648.19
area_max|Área 2|Aakash Bracci|99884.08
area_min|Área 2|Aakash Agosti|137.82
area_min|Área 2|Aakash Agosti|137.82
area_avg|Área 2|48646.04
most_employees|Área 1|9230
least_employees|Área 2|770
last_name_max|Abaine|Aakash Abaine|57682.36
last_name_max|Abate|Aahron Abate|64106.68
last_name_max|Abato|Aahron Abato|89912.17
last_name_max|Abaurre|Aakash Abaurre|34797.24
last_name_max|Abbe|Aahron Abbe|86401.26
last_name_max|Abbott|Aahron Abbott|89506.48
last_name_max|Abbruzzese|Aahron Abbruzzese|52940.09
last_name_max|Abbud|Aalam Abbud|88787.85
last_name_max|Abecassis|Aalam Abecassis|92644.95
last_name_max|Abela|Aahron Abela|59473.81
last_name_max|Abella|Aahron Abella|98234.52
last_name_max|Aboudib|Aahron Aboudib|23612.90
last_name_max|Abramo|Aalam Abramo|83579.84
last_name_max|Abreu|Aakash Abreu|96256.40
last_name_max|Abruzzese|Aakash Abruzzese|59484.30
last_name_max|Abruzzo|Aahron Abruzzo|70110.84
last_name_max|Accardi|Aahron Accardi|71737.44
last_name_max|Accardo|Aahron Accardo|80934.83
last_name_max|Accetta|Aahron Accetta|75417.54
last_name_max|Accomando|Aakash Accomando|86814.35
last_name_max|Accordino|Aakash Accordino|71661.37
last_name_max|Aceto|Aalam Aceto|92668.56
last_name_max|Acevedo|Aahron Acevedo|96372.15
last_name_max|Achille|Aalam Achille|59036.45
last_name_max|Acierno|Aakash Acierno|87165.52
last_name_max|Acord|Aahron Acord|99613.87
last_name_max|Acosta|Aakash Acosta|84615.56
last_name_max|Acquaviva|Aalam Acquaviva|96400.77
last_name_max|Acquisto|Aakash Acquisto|53192.34
last_name_max|Acri|Aakash Acri|72059.72
last_name_max|Acy|Aalam Acy|83366.98
last_name_max|Adami|Aalam Adami|64095.06
last_name_max|Adamo|Aakash Adamo|70603.24
last_name_max|Adams|Aakash Adams|44218.53
last_name_max|Addonizio|Aalam Addonizio|81730.11
last_name_max|Adduci|Aalam Adduci|81189.65
last_name_max|Adinolfi|Aalam Adinolfi|99533.69
last_name_max|Adkins|Aahron Adkins|84298.28
last_name_max|Adornetto|Aalam Adornetto|71552.71
last_name_max|Adorno|Aahron Adorno|97558.81
last_name_max|Adragna|Aakash Adragna|99581.59
last_name_max|Affinito|Aakash Affinito|64699.35
last_name_max|Agard|Aakash Agard|98605.54
last_name_max|Agee|Aahron Agee|63801.13
last_name_max|Agen|Aakash Agen|80179.28
last_name_max|Agent|Aalam Agent|80397.10
last_name_max|Ager|Aakash Ager|89735.82
last_name_max|Aggrizzi|Aakash Aggrizzi|99763.72
last_name_max|Agnello|Aakash Agnello|80465.47
last_name_max|Agosta|Aahron Agosta|57420.51
last_name_max|Agosti|Aahron Agosti|83036.68
last_name_max|Agostinelli|Aahron Agostinelli|77598.80
last_name_max|Agostini|Aalam Agostini|86586.56
last_name_max|Agostino|Aalam Agostino|78573.21
last_name_max|Agosto|Aakash Agosto|52241.90
last_name_max|Agrella|Aahron Agrella|93427.84
last_name_max|Agresta|Aalam Agresta|53126.70
last_name_max|Agresti|Aalam Agresti|80838.70
last_name_max|Agrisi|Aahron Agrisi|62440.08
last_name_max|Agrizzi|Aahron Agrizzi|60045.10
last_name_max|Agro|Aakash Agro|89442.98
last_name_max|Agrusa|Aakash Agrusa|87619.52
last_name_max|Aguiar|Aahron Aguiar|84486.77
last_name_max|Aguilar|Aahron Aguilar|99541.52
last_name_max|Aguillard|Aakash Aguillard|43013.90
last_name_max|Aguillon|Aalam Aguillon|61112.27
last_name_max|Aguirre|Aakash Aguirre|81096.05
last_name_max|Aide|Aahron Aide|91886.37
last_name_max|Aiette|Aahron Aiette|64209.04
last_name_max|Aime|Aalam Aime|42697.88
last_name_max|Airoldi|Aalam Airoldi|67378.32
last_name_max|Airoso|Aalam Airoso|72206.51
last_name_max|Ajello|Aakash Ajello|99932.29
last_name_max|Akechi|Aalam Akechi|56680.00
last_name_max|Alagna|Aahron Alagna|86799.05
last_name_max|Alaimo|Aahron Alaimo|60525.74
last_name_max|Alarie|Aahron Alarie|62090.75
last_name_max|Alario|Aahron Alario|85027.07
last_name_max|Alba|Aalam Alba|60908.43
last_name_max|Albani|Aalam Albani|57219.79
last_name_max|Albano|Aalam Albano|80841.57
last_name_max|Albergo|Aalam Albergo|59333.73
last_name_max|Alberici|Aakash Alberici|46661.27
